INC_CODE,CATEGORY,SUBCATEGORY,UCR_part_1,UCR_part_1_code
1000,homicide,homicide,homicide ,1
1001,homicide,homicide,homicide ,1
1002,homicide,homicide,homicide ,1
1003,homicide,homicide,homicide ,1
1004,homicide,homicide,homicide ,1
1005,homicide,homicide,homicide ,1
1007,homicide,homicide,homicide ,1
1041,homicide,manslaughter,homicide ,1
1042,homicide,manslaughter,homicide ,1
1043,homicide,manslaughter,homicide ,1
1044,homicide,manslaughter,homicide ,1
1051,homicide,homicide - justifiable,,
1052,homicide,homicide - justifiable,,
1053,homicide,homicide - justifiable,,
1054,homicide,homicide - justifiable,,
1061,homicide,homicide - excusable,,
1062,homicide,homicide - excusable,,
1063,homicide,homicide - excusable,,
1064,homicide,homicide - excusable,,
1072,homicide,manslaughter,homicide ,1
1074,homicide,homicide - justifiable,,
1110,homicide,manslaughter,homicide ,1
1131,homicide,manslaughter,homicide ,1
1132,homicide,manslaughter,homicide ,1
1133,homicide,manslaughter,homicide ,1
1134,homicide,manslaughter,homicide ,1
1140,homicide,manslaughter,homicide ,1
1150,homicide,manslaughter,homicide ,1
1160,homicide,manslaughter,homicide ,1
2001,rape,rape,rape,2
2002,rape,rape,rape,2
2003,rape,rape,rape,2
2004,rape,rape,rape,2
2005,rape,rape,rape,2
2010,rape,rape,rape,2
2020,rape,rape,rape,2
2101,rape,rape - attempted,rape,2
2102,rape,rape - attempted,rape,2
2103,rape,rape - attempted,rape,2
2104,rape,rape - attempted,rape,2
2201,rape,rape - attempted,rape,2
2202,rape,rape - attempted,rape,2
2203,rape,rape - attempted,rape,2
2204,rape,rape - attempted,rape,2
3011,robbery,robbery - street,robbery,3
3012,robbery,robbery - street,robbery,3
3013,robbery,robbery - street,robbery,3
3014,robbery,robbery - street,robbery,3
3021,robbery,robbery - commercial,robbery,3
3022,robbery,robbery - commercial,robbery,3
3023,robbery,robbery - commercial,robbery,3
3024,robbery,robbery - commercial,robbery,3
3031,robbery,robbery - commercial,robbery,3
3032,robbery,robbery - commercial,robbery,3
3033,robbery,robbery - commercial,robbery,3
3034,robbery,robbery - commercial,robbery,3
3041,robbery,robbery - commercial,robbery,3
3042,robbery,robbery - commercial,robbery,3
3043,robbery,robbery - commercial,robbery,3
3044,robbery,robbery - commercial,robbery,3
3051,robbery,robbery - commercial,robbery,3
3052,robbery,robbery - commercial,robbery,3
3053,robbery,robbery - commercial,robbery,3
3054,robbery,robbery - commercial,robbery,3
3061,robbery,robbery - commercial,robbery,3
3062,robbery,robbery - commercial,robbery,3
3063,robbery,robbery - commercial,robbery,3
3064,robbery,robbery - commercial,robbery,3
3071,robbery,robbery - other,robbery,3
3072,robbery,robbery - other,robbery,3
3073,robbery,robbery - other,robbery,3
3074,robbery,robbery - other,robbery,3
3081,robbery,robbery - carjacking,robbery,3
3082,robbery,robbery - carjacking,robbery,3
3083,robbery,robbery - carjacking,robbery,3
3084,robbery,robbery - carjacking,robbery,3
3091,robbery,robbery - other,robbery,3
3092,robbery,robbery - other,robbery,3
3093,robbery,robbery - other,robbery,3
3094,robbery,robbery - other,robbery,3
3401,robbery,robbery - commercial,robbery,3
3411,robbery,robbery - street,robbery,3
3412,robbery,robbery - street,robbery,3
3413,robbery,robbery - street,robbery,3
3414,robbery,robbery - street,robbery,3
3421,robbery,robbery - commercial,robbery,3
3422,robbery,robbery - commercial,robbery,3
3423,robbery,robbery - commercial,robbery,3
3424,robbery,robbery - commercial,robbery,3
3431,robbery,robbery - commercial,robbery,3
3432,robbery,robbery - commercial,robbery,3
3433,robbery,robbery - commercial,robbery,3
3434,robbery,robbery - commercial,robbery,3
3441,robbery,robbery - commercial,robbery,3
3442,robbery,robbery - commercial,robbery,3
3443,robbery,robbery - commercial,robbery,3
3444,robbery,robbery - commercial,robbery,3
3451,robbery,robbery - residential,robbery,3
3452,robbery,robbery - residential,robbery,3
3453,robbery,robbery - residential,robbery,3
3454,robbery,robbery - residential,robbery,3
3461,robbery,robbery - commercial,robbery,3
3462,robbery,robbery - commercial,robbery,3
3463,robbery,robbery - commercial,robbery,3
3464,robbery,robbery - commercial,robbery,3
3471,robbery,robbery - other,robbery,3
3472,robbery,robbery - other,robbery,3
3473,robbery,robbery - other,robbery,3
3474,robbery,robbery - other,robbery,3
3481,robbery,robbery - commercial,robbery,3
3482,robbery,robbery - commercial,robbery,3
3483,robbery,robbery - commercial,robbery,3
3484,robbery,robbery - commercial,robbery,3
3491,robbery,robbery - other,robbery,3
3492,robbery,robbery - other,robbery,3
3493,robbery,robbery - other,robbery,3
3494,robbery,robbery - other,robbery,3
4011,assault,aggravated assault,aggravated assault,4
4012,assault,aggravated assault,aggravated assault,4
4013,assault,aggravated assault,aggravated assault,4
4014,assault,aggravated assault,aggravated assault,4
4021,assault,aggravated assault,aggravated assault,4
4022,assault,aggravated assault,aggravated assault,4
4023,assault,aggravated assault,aggravated assault,4
4024,assault,aggravated assault,aggravated assault,4
4025,assault,aggravated assault,aggravated assault,4
4026,assault,aggravated assault,aggravated assault,4
4033,assault,aggravated assault,aggravated assault,4
4043,assault,aggravated assault,aggravated assault,4
4051,assault,aggravated assault,aggravated assault,4
4052,assault,aggravated assault,aggravated assault,4
4053,assault,aggravated assault,aggravated assault,4
4054,assault,aggravated assault,aggravated assault,4
4061,assault,aggravated assault,aggravated assault,4
4062,assault,aggravated assault,aggravated assault,4
4063,assault,aggravated assault,aggravated assault,4
4064,assault,aggravated assault,aggravated assault,4
4072,assault,aggravated assault,aggravated assault,4
4073,assault,aggravated assault,aggravated assault,4
4074,assault,aggravated assault,aggravated assault,4
4076,assault,aggravated assault,aggravated assault,4
4080,assault,aggravated assault,aggravated assault,4
4081,assault,aggravated assault,aggravated assault,4
4082,assault,aggravated assault,aggravated assault,4
4083,assault,aggravated assault,aggravated assault,4
4084,assault,aggravated assault,aggravated assault,4
4085,assault,aggravated assault,aggravated assault,4
4090,assault,aggravated assault,aggravated assault,4
4091,assault,aggravated assault,aggravated assault,4
4092,assault,aggravated assault,aggravated assault,4
4093,assault,aggravated assault,aggravated assault,4
4094,assault,aggravated assault,aggravated assault,4
4095,assault,aggravated assault,aggravated assault,4
4096,assault,aggravated assault,aggravated assault,4
4097,assault,aggravated assault,aggravated assault,4
4098,assault,aggravated assault,aggravated assault,4
4104,assault,simple assault,,
4114,assault,simple assault,,
4124,assault,simple assault,,
4134,assault,simple assault,,
4136,assault,simple assault,,
4138,assault,simple assault,,
4144,assault,simple assault,,
4145,assault,aggravated assault,aggravated assault,4
4146,assault,simple assault,,
4154,assault,simple assault,,
4170,assault,simple assault,,
5011,burglary,burglary - residential,burglary ,5
5012,burglary,burglary - residential,burglary ,5
5013,burglary,burglary - residential,burglary ,5
5014,larceny theft,theft from vehicle,,
5015,larceny theft,theft from vehicle,,
5021,burglary,burglary - residential,burglary ,5
5022,burglary,burglary - residential,burglary ,5
5023,burglary,burglary - residential,burglary ,5
5031,burglary,burglary - residential,burglary ,5
5032,burglary,burglary - residential,burglary ,5
5033,burglary,burglary - residential,burglary ,5
5041,burglary,burglary - residential,burglary ,5
5042,burglary,burglary - residential,burglary ,5
5043,burglary,burglary - residential,burglary ,5
5051,burglary,burglary - commercial,burglary ,5
5052,burglary,burglary - commercial,burglary ,5
5053,burglary,burglary - commercial,burglary ,5
5061,burglary,burglary - commercial,burglary ,5
5062,burglary,burglary - commercial,burglary ,5
5063,burglary,burglary - commercial,burglary ,5
5071,burglary,burglary - other,burglary ,5
5072,burglary,burglary - other,burglary ,5
5073,burglary,burglary - other,burglary ,5
5081,burglary,burglary - hot prowl,burglary ,5
5082,burglary,burglary - hot prowl,burglary ,5
5083,burglary,burglary - hot prowl,burglary ,5
5111,burglary,burglary - residential,burglary ,5
5112,burglary,burglary - residential,burglary ,5
5113,burglary,burglary - residential,burglary ,5
5121,burglary,burglary - residential,burglary ,5
5122,burglary,burglary - residential,burglary ,5
5123,burglary,burglary - residential,burglary ,5
5131,burglary,burglary - residential,burglary ,5
5132,burglary,burglary - residential,burglary ,5
5133,burglary,burglary - residential,burglary ,5
5141,burglary,burglary - residential,burglary ,5
5142,burglary,burglary - residential,burglary ,5
5143,burglary,burglary - residential,burglary ,5
5151,burglary,burglary - other,burglary ,5
5152,burglary,burglary - other,burglary ,5
5153,burglary,burglary - other,burglary ,5
5161,burglary,burglary - commercial,burglary ,5
5162,burglary,burglary - commercial,burglary ,5
5163,burglary,burglary - commercial,burglary ,5
5171,burglary,burglary - other,burglary ,5
5172,burglary,burglary - other,burglary ,5
5173,burglary,burglary - other,burglary ,5
5211,burglary,burglary - residential,burglary ,5
5221,burglary,burglary - residential,burglary ,5
5231,burglary,burglary - residential,burglary ,5
5241,burglary,burglary - residential,burglary ,5
5251,burglary,burglary - commercial,burglary ,5
5261,burglary,burglary - commercial,burglary ,5
5271,burglary,burglary - other,burglary ,5
5311,burglary,burglary - residential,burglary ,5
5321,burglary,burglary - residential,burglary ,5
5331,burglary,burglary - residential,burglary ,5
5341,burglary,burglary - residential,burglary ,5
5351,burglary,burglary - commercial,burglary ,5
5361,burglary,burglary - commercial,burglary ,5
5371,burglary,burglary - other,burglary ,5
6110,larceny theft,larceny theft - pickpocket,larceny theft,6
6111,larceny theft,larceny theft - pickpocket,larceny theft,6
6112,larceny theft,larceny theft - pickpocket,larceny theft,6
6113,larceny theft,larceny theft - pickpocket,larceny theft,6
6114,larceny theft,larceny theft - pickpocket,larceny theft,6
6120,larceny theft,larceny theft - other,larceny theft,6
6121,larceny theft,larceny theft - other,larceny theft,6
6122,larceny theft,larceny theft - other,larceny theft,6
6123,larceny theft,larceny theft - other,larceny theft,6
6124,larceny theft,larceny theft - other,larceny theft,6
6125,larceny theft,larceny theft - other,larceny theft,6
6126,larceny theft,larceny theft - other,larceny theft,6
6130,larceny theft,larceny theft - purse snatch,larceny theft,6
6131,larceny theft,larceny theft - purse snatch,larceny theft,6
6132,larceny theft,larceny theft - purse snatch,larceny theft,6
6133,larceny theft,larceny theft - purse snatch,larceny theft,6
6134,larceny theft,larceny theft - purse snatch,larceny theft,6
6140,larceny theft,larceny theft - purse snatch,larceny theft,6
6141,larceny theft,larceny theft - other,larceny theft,6
6142,larceny theft,larceny theft - other,larceny theft,6
6143,larceny theft,larceny theft - other,larceny theft,6
6144,larceny theft,larceny theft - other,larceny theft,6
6150,larceny theft,larceny theft - other,larceny theft,6
6151,larceny theft,larceny theft - other,larceny theft,6
6152,larceny theft,larceny theft - other,larceny theft,6
6153,larceny theft,larceny theft - other,larceny theft,6
6154,larceny theft,larceny theft - other,larceny theft,6
6157,larceny theft,larceny theft - other,larceny theft,6
6210,larceny theft,larceny - auto parts,larceny theft,6
6211,larceny theft,larceny - auto parts,larceny theft,6
6212,larceny theft,larceny - auto parts,larceny theft,6
6213,larceny theft,larceny - auto parts,larceny theft,6
6214,larceny theft,larceny - auto parts,larceny theft,6
6220,larceny theft,larceny - from vehicle,larceny theft,6
6221,larceny theft,larceny - from vehicle,larceny theft,6
6222,larceny theft,larceny - from vehicle,larceny theft,6
6223,larceny theft,larceny - from vehicle,larceny theft,6
6224,larceny theft,larceny - from vehicle,larceny theft,6
6230,larceny theft,larceny - auto parts,larceny theft,6
6231,larceny theft,larceny - auto parts,larceny theft,6
6232,larceny theft,larceny - auto parts,larceny theft,6
6233,larceny theft,larceny - auto parts,larceny theft,6
6234,larceny theft,larceny - auto parts,larceny theft,6
6240,larceny theft,larceny - from vehicle,larceny theft,6
6241,larceny theft,larceny - from vehicle,larceny theft,6
6242,larceny theft,larceny - from vehicle,larceny theft,6
6243,larceny theft,larceny - from vehicle,larceny theft,6
6244,larceny theft,larceny - from vehicle,larceny theft,6
6246,larceny theft,larceny theft - other,larceny theft,6
6300,larceny theft,larceny theft - from building,larceny theft,6
6301,larceny theft,larceny theft - from building,larceny theft,6
6302,larceny theft,larceny theft - from building,larceny theft,6
6303,larceny theft,larceny theft - from building,larceny theft,6
6304,larceny theft,larceny theft - from building,larceny theft,6
6310,larceny theft,larceny theft - bicycle,larceny theft,6
6312,larceny theft,larceny theft - bicycle,larceny theft,6
6313,larceny theft,larceny theft - bicycle,larceny theft,6
6314,larceny theft,larceny theft - bicycle,larceny theft,6
6315,larceny theft,larceny theft - bicycle,larceny theft,6
6316,larceny theft,larceny theft - bicycle,larceny theft,6
6340,larceny theft,larceny theft - other,larceny theft,6
6341,larceny theft,larceny theft - other,larceny theft,6
6342,larceny theft,larceny theft - other,larceny theft,6
6343,larceny theft,larceny theft - other,larceny theft,6
6344,larceny theft,larceny theft - other,larceny theft,6
6360,larceny theft,larceny theft - shoplifting,larceny theft,6
6361,larceny theft,larceny theft - shoplifting,larceny theft,6
6362,larceny theft,larceny theft - shoplifting,larceny theft,6
6363,larceny theft,larceny theft - shoplifting,larceny theft,6
6364,larceny theft,larceny theft - shoplifting,larceny theft,6
6365,larceny theft,larceny theft - other,larceny theft,6
6370,larceny theft,larceny theft - other,larceny theft,6
6371,larceny theft,larceny theft - other,larceny theft,6
6372,larceny theft,larceny theft - other,larceny theft,6
6373,larceny theft,larceny theft - other,larceny theft,6
6374,larceny theft,larceny theft - other,larceny theft,6
6375,larceny theft,larceny theft - other,larceny theft,6
6376,larceny theft,larceny theft - other,larceny theft,6
6381,larceny theft,larceny theft - other,larceny theft,6
6383,larceny theft,larceny theft - other,larceny theft,6
6385,larceny theft,larceny theft - other,larceny theft,6
6386,larceny theft,larceny theft - other,larceny theft,6
6391,larceny theft,larceny theft - other,larceny theft,6
6394,larceny theft,larceny theft - other,larceny theft,6
6395,larceny theft,larceny theft - other,larceny theft,6
6396,larceny theft,larceny theft - other,larceny theft,6
6397,larceny theft,larceny theft - other,larceny theft,6
6398,larceny theft,larceny theft - other,larceny theft,6
6400,larceny theft,larceny theft - other,larceny theft,6
6401,larceny theft,larceny theft - other,larceny theft,6
7020,motor vehicle theft,motor vehicle theft,motor vehicle theft,7
7021,motor vehicle theft,motor vehicle theft,motor vehicle theft,7
7022,motor vehicle theft,motor vehicle theft,motor vehicle theft,7
7023,motor vehicle theft,motor vehicle theft,motor vehicle theft,7
7024,motor vehicle theft,motor vehicle theft,motor vehicle theft,7
7025,motor vehicle theft,motor vehicle theft,motor vehicle theft,7
7026,motor vehicle theft,motor vehicle theft,motor vehicle theft,7
7027,motor vehicle theft?,motor vehicle theft,motor vehicle theft,7
7030,larceny theft,larceny theft - other,larceny theft,6
7041,recovered vehicle,recovered vehicle,,
7042,recovered vehicle,recovered vehicle,,
7043,recovered vehicle,recovered vehicle,,
7044,recovered vehicle,recovered vehicle,,
7045,recovered vehicle,recovered vehicle,,
7046,recovered vehicle,recovered vehicle,,
7051,motor vehicle theft,motor vehicle theft (attempted),motor vehicle theft,7
7052,embezzlement,embezzlement,,
7053,vehicle impounded,vehicle impounded,,
7054,vehicle misplaced,vehicle misplaced,,
7055,motor vehicle theft,motor vehicle theft,motor vehicle theft,7
7056,embezzlement,embezzlement,,
7100,vandalism,vandalism,,
7200,forgery and counterfeiting,forgery and counterfeiting,,
7201,forgery and counterfeiting,forgery and counterfeiting,,
7202,other miscellaneous,other,,
7203,other miscellaneous,other,,
7204,other miscellaneous,other,,
7205,other miscellaneous,other,,
7206,other miscellaneous,other,,
9010,other miscellaneous,other,,
9015,forgery and counterfeiting,forgery and counterfeiting,,
9016,forgery and counterfeiting,forgery and counterfeiting,,
9020,forgery and counterfeiting,forgery and counterfeiting,,
9021,other miscellaneous,other,,
9022,fraud,fraud,,
9023,fraud,fraud,,
9024,fraud,fraud,,
9025,fraud,fraud,,
9026,fraud,fraud,,
9027,fraud,fraud,,
9028,fraud,fraud,,
9029,fraud,fraud,,
9030,fraud,fraud,,
9031,stolen property,stolen property,,
9032,fraud,fraud,,
9033,fraud,fraud,,
9034,fraud,fraud,,
9035,fraud,bad checks,,
9040,fraud,fraud,,
9050,fraud,fraud,,
9060,fraud,fraud,,
9110,forgery and counterfeiting,forgery and counterfeiting,,
9120,forgery and counterfeiting,forgery and counterfeiting,,
9125,forgery and counterfeiting,forgery and counterfeiting,,
9130,forgery and counterfeiting,forgery and counterfeiting,,
9140,forgery and counterfeiting,forgery and counterfeiting,,
9150,forgery and counterfeiting,forgery and counterfeiting,,
9161,fraud,fraud,,
9162,fraud,fraud,,
9163,fraud,fraud,,
9164,fraud,fraud,,
9165,fraud,fraud,,
9166,fraud,fraud,,
9167,fraud,fraud,,
9168,fraud,fraud,,
9169,fraud,fraud,,
9171,,,,
9172,fraud,fraud,,
9173,fraud,fraud,,
9174,forgery and counterfeiting,forgery and counterfeiting,,
9175,forgery and counterfeiting,forgery and counterfeiting,,
9176,fraud,fraud,,
9210,forgery and counterfeiting,forgery and counterfeiting,,
9215,forgery and counterfeiting,forgery and counterfeiting,,
9220,forgery and counterfeiting,forgery and counterfeiting,,
9250,fraud,fraud,,
9261,forgery and counterfeiting,forgery and counterfeiting,,
9262,forgery and counterfeiting,forgery and counterfeiting,,
9263,fraud,fraud,,
9264,fraud,fraud,,
9265,fraud,fraud,,
9266,fraud,fraud,,
9267,fraud,fraud,,
9268,fraud,fraud,,
9269,fraud,fraud,,
9270,fraud,fraud,,
9271,fraud,fraud,,
9310,fraud,fraud,,
9320,fraud,fraud,,
